,Title,Link,Genre,Developer,Publisher,Released in: Japan,North America,Rest of countries,Plots
0,1-2-Switch,/wiki/1-2-Switch,Party,Nintendo EPD,Nintendo,"March 3, 2017","March 3, 2017","March 3, 2017"," 1-2-Switch is a party game in which players do not usually rely on what is happening on a screen, but rather make use of audio cues and the functionality of the Switch's Joy-Con controllers to play in several different games. It features 28 different minigames, most of which involve two players, who each use one of the Joy-Con controllers and are often encouraged to look at each other during gameplay. Aside from tutorial videos for each game, players mostly rely solely on audio cues and feedback from the Joy-Con's rumble feature to indicate how well they are playing each game.  "
1,140,/wiki/140_(video_game),Action,Carlsen Games,Carlsen Games,Unreleased,"January 9, 2020","January 9, 2020"," As described by Carlsen, 140 is “an old school platformer”, but where the challenge is “in syncing up your moves and jumps to the music-controlled elements”; as the player progresses through a level, the music will change to reflect the difficulty of the platforming elements. The player controls a geometric shape—a square when stationary, a circle when moving, and a triangle when jumping—across a two-dimensional environment made up of other simple geometric shapes, with the objective being to reach the end of the course. Along the way the player will need to collect floating colored balls that, when placed in a semicircular fixture on the ground, activate a new type of platforming obstacle that allows the player to continue. These activations also have the effects of changing the color palette of the level and adding a new element to the music to which the new obstacle is synchronized.  Various obstacles and enemies, represented by geometric shapes, test the player's skills, and should the shape fall or be hit by one of the shapes filled with white noise, they will need to restart at the last checkpoint they passed. All of these obstacles and enemies have actions that are synchronized to the music, aiding the player in moving through the course; platforms that move or appear and disappear will do so on the beat, while enemies will fire in time to the music.  "
3,198X,/wiki/198X,Arcade,Hi-Bit Studios,JP,"January 23, 2020","January 23, 2020","January 23, 2020"," In an introductory sequence entitled Beating Heart that plays like a side-scrolling beat 'em up, the teenage protagonist fights his way from the subway station and through the streets of the unnamed city in which he lives until he reaches a hospital where he is attacked by a hooded figure with glowing red eyes.  Set in the 1980s, the game follows the ""Kid"", the teenager from the introduction, who feels stuck in his childhood home in ""sleepy suburbia"" as he waits for his life to ""move forward"". One night, as ""the Kid"" wanders the streets of his unnamed city looking for anything to ""make his heart skip a beat again"", he stumbles onto an abandoned factory that was built ""long before"" the protagonist was born and now houses an arcade. Wondering if he found a place where he can fit in, he starts playing a horizontally scrolling space shooter entitled Out of the Void. Feeling disconnected at school, the Kid's mind frequently returns to the arcade where he was ""on an asteroid somewhere fighting space invaders."" The only person he notices in school is ""her"" a ""punk rocker from the south district"" who's freedom the Kid admires. 198X then cuts to the KId playing an arcade racing game entitled The Runaway. During The Runaway's second stage, the Kid explains that he's started to spend every night at the arcade, where every game he mastered made him ""stronger"" and ""more confident"". One evening, the Kid reminisces about his childhood and how ""anything was possible"" back then before ""everyone got brainwashed"" in high school. He then mentions how when your a kid ""shadows seem darker and more terrifying"" yet ""more exciting"" at the same time. The game then transitions to a ninja video game called Shadowplay. That night, while walking to the arcade, the Kid reveals that his parents split up due to an incident involving the Kid's father. He also mentions that night was when ""everything changed"" at the arcade before 198X transitions into a role-playing video game entitled Kill Screen where the player has to defeat 3 dragons in order to solve a maze before fighting the unwinnable SHODAN-like final boss. Afterwards the Kid is seen sitting outside the arcade in the rain mentioning that he ""was still there"" but that ""nothing was the same"". Characters from 198Xs various games begin to materialize around him, with the protagonist concluding that the ""game was not over"".  "
5,20XX,/wiki/20XX_(video_game),Platformer,Batterystaple Games,Batterystaple Games,"July 10, 2018","July 10, 2018","July 10, 2018"," Inspired by Mega Man X, players must shoot or slash enemies and complete difficult platforming challenges to finish a stage. The twist is that these stages are generated randomly based on level segments, or ""chunks"", and also allow for both local and online co-op. Rather than giving you several lives, the game has permadeath, but is a ""roguelite"" in that you can use Soul Chips earned during the level to unlock new types of passive upgrades to buy, and gain upgrades for the next attempt of that particular run.  During levels players can use bolts gained as currency to buy passive upgrades, or to gain back health or energy in vending machines. They can also find upgrades in treasure chests and other places. Upon beating a boss the player can choose to take their power as a reward, granting them a new special ability, or take a reward of bolts or a random passive upgrade instead.   The game follows Nina, an armored girl armed with a power blaster, and Ace, an armored boy who has an energy sword, in the aftermath of a robotic uprising.  Traveling from their base on the Ark, a space station orbiting the Earth, they have been hired to clear dangerous locations that are infested with robots that have run amok.  "
6,6180 the moon,/wiki/6180_the_moon,Platformer,Turtle Cream,Turtle Cream,"June 21, 2018","May 24, 2018","May 31, 2018"," In 6180 the moon, the player controls the Moon, shown as a simple white circle. The Moon only has the ability to jump and move left and right, however, the tops and the bottom of the level boundaries loop, giving the player more options to tackle the platforming challenges the game presents. The goal of each level is to get from the starting point to the exit block. Every level is grouped into a certain ""world"" each of which is based on a planet (it also includes the Sun), with each world having a different thematic mechanic.   The Moon prepares to set and allow the Sun to rise, however, the Moon notices the Sun is missing. The Moon then begins a journey to find the Sun, and tell him to come back to Earth. On the way, the Moon talks to each of the planets, who give their opinions or advice on the situation. At the end, the Sun tells the Moon that he never left, and the Moon begins the journey back.  "
7,7 Billion Humans,/wiki/7_Billion_Humans,Puzzle,Tomorrow Corporation,Tomorrow Corporation,"October 25, 2018","October 25, 2018","October 25, 2018"," Similar to Human Resource Machine, players are tasked with over 60 programming puzzles, typically involving the movement of numerical data cubes by human workers. For example, a task might ask the player to program the humans to sort the numbers on data cubes in order. The programming language is similar to assembly language, allowing for simple loops, logic, memory storage and calculations.    The same program is used to control all humans simultaneously, while allowing each human to follow its individual logic through the project based on their current state, such as moving left or right based on comparing the value of the data cube they are holding. The humans will run through the program until either the program solution is met, or all the humans reach the end of the program and the problem solution is not met, in which case the player must rework the program. The player is able to step through the program and select any individual human to watch their progress through the program for debugging purposes.   Once a player achieves a working solution for a given problem, the game will then simulate 25 additional cases where random factors (such as values of data cubes) change, which might cause a program to fail and require the player to account for that. Otherwise, the player is then ranked on the number of program steps they have, and the number of seconds (cycles) it takes for the program to complete, measured against average marks determined by Tomorrow Corporation. Most levels provide two optional challenges, to beat the average steps and average seconds with optimization of their program; these are sometimes diametric goals and do not need to be completed within the same program. Other puzzles are fully optional, requiring more advanced techniques to solve.  "
9,99Vidas,/wiki/99Vidas,Beat 'em up,QuByte Interactive,QuByte Interactive,Unreleased,"November 27, 2018","November 27, 2018"," 99Vidas is a side-scrolling beat 'em up initially featuring six playable characters. Five more unlocked through multiple play sessions, bringing the total number of playable characters to 11. It features cooperative and competitive game modes, for up to four players, which can be played either locally or online.  Each character has unique attributes such as speed and strength, as well as an elemental alignment (fire, water, wind, lightning, et al.), which dictates the quality of their attacks, combos and special moves. Characters gain experience points by defeating enemies and collecting special items which can then be used by the player to upgrade their abilities and combos, or to unlock new ones.  The campaign and survival modes can be played solo or by up to four players cooperatively. In campaign mode, players progress through the story together, while in survival, they face unending waves of enemies, with a limited number of lives and ever-increasing difficulty, the objective being attaining high scores, which are posted to an arcade-style leaderboard. In versus mode, two to four players can play head-to-head competitive matches, where the last one standing wins.   99Vidas is set in an anachronistic fictional universe inspired by 1980s and 1990s pop culture and video game aesthetic. The story starts as an artifact known as 99Vidas goes missing. This artifact is believed to hold such great power it is a menace to the very existence of the universe, should it ever fall into the wrong hands. Players play as ""guardians"" of 99Vidas, heroes with elemental powers whose duty it is to protect the artifact.  "
10,Aaero,/wiki/Aaero,Action,Mad Fellows,JP,"December 27, 2018","December 24, 2018","December 24, 2018"," The basic controls are that of a twin-stick shooter, the left stick controlling the ship while the right controls targeting.  Mike Fahey of Kotaku says: ""Aaero sees players navigating through alien environments in a futuristic flying craft. As the music plays, ribbons of light bend and twist in the air, visualizing aspects of the song. Sometimes it’s vocals. Sometimes it’s strange electronic wails. Using the left analog stick (required even in the PC version), players must grind against those ribbons in order to absorb the energy of the music.""   He goes on to describe the shooting element of the gameplay: ""The game’s tunnel-like environments warp and twist to impede the player, each new level bringing unique obstacles and traps into play. Odd mechanical enemies attack from time to time, with the game employing a target lock and fire mechanic using a combination of right analog and trigger.""   In his review for Forbes, Mitch Wallace describes the gameplay: ""The general on-rail, twin-stick shooting setup is deceptively simple: Pilot a nondescript spaceship through various alien and possibly post-apocalyptic stages, gunning down enemies and tracing ribbons of light as you go.""   "
11,Abzû,/wiki/Abz%C3%BB,Adventure,Giant Squid Studios,505 Games,"February 27, 2020","November 29, 2018","November 29, 2018"," In Abzû, the player takes on the role of a diver in a vast ocean—after waking up floating on the ocean's surface, the diver begins exploring the surrounding underwater environments filled with plant and animal life, in addition to uncovering ancient technology and submerged ruins. In a few areas, the diver is also able to explore land-based environments above the water. As the game progresses, the diver unlocks new areas and pursues the secrets behind the forces harming the local environment. The diver's course through the game follows a linear path through interconnected areas filled with marine life. The player directs the diver through the environments using full analogue control, able to interact with the environment to solve switch or item-based puzzles, and sit on pedestals within each area to observe the surrounding sea life. The diver can accelerate, and interact with marine life using sonar chimes. The diver can grab onto the bodies of larger marine animals and ride on them. Each area sports hidden collectables for the diver to find.  "
14,Aegis Defenders,/wiki/Aegis_Defenders,Tower defense,Guts Department,Humble Bundle,"February 8, 2018","February 8, 2018","February 8, 2018"," In Aegis Defenders, players control a team of up to 4 characters. In addition to running, jumping, and attacking, each character has a unique sub-ability and can build a unique item. Players can use ""cross fusion"" to combine items into more powerful ones.  Each level is usually split into exploration and tower defense phases. The exploration phase consists of platforming and puzzle solving. During the tower defense phase, players must protect their base (an important person or object) from waves of approaching enemies. There are 18 levels in the story campaign plus 3 bonus levels featuring crossover characters from other Kickstarter games including Shovel Knight, Lunais from Timespinner, and Derpl Zork from Awesomenauts.   Aegis Defenders follows a pair of Ruinhunters, Bart and his grand daughter Clu, as they discover a powerful weapon known as Aegis and embark on a quest to prevent it from falling into the hands of an evil empire. Along the way they join forces with Kobo the companion drone, Kaiim the monk, and Zula the bandit.  "
